title,title_orig,price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id,theme,crawl_month
Nouvelle mode d'été femmes robe décontractée col rond lâche Big Swing jupe sans manches Soild couleur robe de plage,New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,1.0,10,EUR,100,0,3.56,52.0,22.0,8,9,3,10,0,0,0,0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women",white,XXS,2,Livraison standard,1,0,40,50,1,Quantité limitée !,"",Maryswill,maryswill,"81 % avis positifs (91,631 notes)",91631,3.83793694273772,5268759b736046671957190c,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_5268759b736046671957190c.jpg,https://www.wish.com/c/5e81acbde187530740f207c6,https://contestimg.wish.com/api/webimage/5e81acbde187530740f207c6-medium.jpg,5e81acbde187530740f207c6,summer,2020-08
Fashion Women Sleeveless Lace Vest Loose V Neck Solid Silk  Lady Casual Sexy Black Tank Tops,Fashion Women Sleeveless Lace Vest Loose V Neck Solid Silk  Lady Casual Sexy Black Tank Tops,8.0,33,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"Vest,Fashion,Lace,V-neck,Women's Fashion,lacebra,sexy,silk,Casual,Women,Tank,Necks,casualsuspendertop,lace top,Tops,lace vest,slingtop,black,sleeveless",black,S,50,Livraison standard,2,0,25,50,"","",CN,WSLCWM,wslcwm,"88 % avis positifs (1,496 notes)",1496,4.169786096256685,592955ef980a346d826f7bfc,0,"",https://www.wish.com/c/5ed0dfc51fa8446451b19c0d,https://contestimg.wish.com/api/webimage/5ed0dfc51fa8446451b19c0d-medium.jpg,5ed0dfc51fa8446451b19c0d,summer,2020-08
Womens Summer Fashion Lip Print 2pc Set Ladies Casual Col rond T-shirt à manches courtes et short,Womens Summer Fashion Lip Print 2pc Set Ladies Casual Round Neck Short Sleeve T Shirt and Shorts,5.0,51,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks",black,XS,1,Livraison standard,1,0,36,50,"","",CN,hxt520,hxt520,86 % avis positifs (295 notes),295,3.989830508474576,5d464a1ffdf7bc44ee933c65,0,"",https://www.wish.com/c/5eb90ab5ad67f63678d15ed9,https://contestimg.wish.com/api/webimage/5eb90ab5ad67f63678d15ed9-medium.jpg,5eb90ab5ad67f63678d15ed9,summer,2020-08
Women's Casual Sleeveless Stripe T Shirts Dress Big Swing Maxi Dress Summer Beach Long Dress Plus Size XS-5XL,Women's Casual Sleeveless Stripe T Shirts Dress Big Swing Maxi Dress Summer Beach Long Dress Plus Size XS-5XL,2.7199999999999998,9,EUR,1,0,5,0.0,"","","","","",0,0,0,0,"Summer,Plus Size,Shirt,long dress,Dress,Women's Fashion,V-neck,Maxi Dresses,beach dress,Party Dress,Stripes,Sleeveless dress,summer dresses,women dress,Beach,Casual,sleeveless",orange,XS,1,Livraison standard,1,0,33,50,"","",CN,Kyiswen,kyiswen,75 % avis positifs (378 notes),378,3.5978835978835977,5d417e7070327a2743021677,0,"",https://www.wish.com/c/5ed3ae8e7bf8821d5cf4bc64,https://contestimg.wish.com/api/webimage/5ed3ae8e7bf8821d5cf4bc64-medium.jpg,5ed3ae8e7bf8821d5cf4bc64,summer,2020-08
"Pantalon à lacets à la mode pour femmes d'été, plus la taille Pantalon court à taille haute décontracté",Summer Women s  Fashion  Lace Up Tie Pants  Plus Size Casual High Waist Short Pants,3.7800000000000002,4,EUR,1000,1,3.35,79.0,30.0,13,11,5,20,0,0,0,0,"Summer,Shorts,high waist shorts,high waist,Casual pants,pants,summer shorts,Waist,Slim Fit,Short pants,Women's Fashion,Plus Size,Lace Up,Women,Fashion,Casual,Lace",red,XS,1,Livraison standard,1,0,38,50,"","","",Maxnina,maxnina,"(105,015 notes)",105015,3.789601485502071,5177b0b63feb620dd802a197,0,"",https://www.wish.com/c/5dde07c651fe4539f9c3ee70,https://contestimg.wish.com/api/webimage/5dde07c651fe4539f9c3ee70-medium.jpg,5dde07c651fe4539f9c3ee70,summer,2020-08
Jupe de tennis plissée extensible Active Skort Athletic pour femme pour l'entraînement de golf,Women's Active Skort Athletic Stretchy Pleated Tennis Skirt for Running Golf Workout,5.0,5,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"ladies skort,running skirt,summer skirt,Golf,short dress,Women Skirts,Athletics,Skirts,Pleated,Running,Tennis,short skirt skorts,Women's Fashion,hightwaistdres,Pleated Skirt,Active,short skirt,tennisdres",white,S,50,Livraison standard,2,0,8,50,1,Quantité limitée !,CN,renpingping,renpingping,80 % avis positifs (129 notes),129,3.8372093023255816,5a3231f2e62bbc45b0bda1dd,0,"",https://www.wish.com/c/5ed1c059630f990d1d44592c,https://contestimg.wish.com/api/webimage/5ed1c059630f990d1d44592c-medium.jpg,5ed1c059630f990d1d44592c,summer,2020-08
"\"T-shirt d'été sans manches en coton imprimé \"\"BUT DID YOU DIE\"\" T-shirt d'entraînement avec débardeur T-shirt en bleu","blanc et gris.\"","",7,56,EUR,5000,1,4.16,1378.0,747,317,172,66,76,0,0,0,0,"Blues,Summer,Plus Size,Tank,Sexy Top,letter print,Workout tanktop,Tops,Grey,tank top,Women's Fashion,Fashion,women t shirt,Women,Casual T-Shirt,Print,sleeveless,white,women top,T Shirts,Cotton",pink,S,15,Livraison standard,2,0,41,50,"","",CN,owiner,owiner,"85 % avis positifs (25,222 notes)",25222.0,4.001546269130125,566a47bfe9fa8a31b3ef5141,0,"",https://www.wish.com/c/5b73bf7b7594b445df99384e,https://contestimg.wish.com/api/webimage/5b73bf7b7594b445df99384e-medium.jpg,5b73bf7b7594b445df99384e,summer
Women's Sexy Push Up Bikini Sexy Vintage Set Sexy Biquini Brésilien Biquini,Women's Sexy Push Up Bikini Vintage Set Sexy Brazilian Biquini,11.0,30,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"woman fashion,Fashion,outside,Vintage,sexy bikini,tasselbikini,Swimwear,Swimsuit,Bikini,brazilian,sexy,Beach,Women","",S,50,Livraison standard,3,0,78,50,1,Quantité limitée !,CN,YIWU SHI AO HANG DIAN ZI SHANG WU YOU XIAN GONG SI,yiwushiaohangdianzishangwuyouxiangongsi,"91 % avis positifs (22,621 notes)",22621,4.295123999823173,56025ed8293a5b2d24779bde,0,"",https://www.wish.com/c/573db9316b335c34ca0513b8,https://contestimg.wish.com/api/webimage/573db9316b335c34ca0513b8-medium.jpg,573db9316b335c34ca0513b8,summer,2020-08
Mode d'été Tie-Dye manches courtes robe longue lâche col en V BOHO Maxi Dress,Summer Fashion Tie-Dye Short Sleeve Long Dress Loose V Neck BOHO Maxi Dress,8.0,9,EUR,7,0,5,0.0,"","","","","",0,0,0,0,"Summer,summer dress,Necks,Sleeve,long dress,plus size dress,Dress,Loose,V Neckdress,short sleeves,maxi dress,Shorts,boho,short sleeve dress,boho dress,Fashion,womendre,women dress,Women's Fashion",orange,XXS,5,Livraison standard,3,0,38,50,"","",CN,"SHENZHEN LONGDRAGON TECHNOLOGY CO.,LTD",shenzhenlongdragontechnologycoltd,"87 % avis positifs (108,048 notes)",108048,4.052504442470013,5417aada4ad3ab27e954b76c,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_5417aada4ad3ab27e954b76c.jpg,https://www.wish.com/c/5e8d70549f1504449514c8b9,https://contestimg.wish.com/api/webimage/5e8d70549f1504449514c8b9-medium.jpg,5e8d70549f1504449514c8b9,summer,2020-08
Dames d'été Tie Dye Imprimer manches courtes hors épaule Casual Plus Size Dress,Ladies Summer Tie Dye Print Short Sleeve Off Shoulder Casual Plus Size Dress,4.8100000000000005,5,EUR,100,1,5,0.0,"","","","","",0,0,0,0,"Summer,Plus Size,Tie Dye,tiedyeprint,Dyes,Dress,summer dress,short sleeves,Ladies,Women's Fashion,Shorts,off shoulder dress,Sleeve,Print,women dress,Casual,casual dress",yellow,XS,5,Envio Padrão,1,0,47,50,1,Quantité limitée !,CN,chaoyang_lizhen,chaoyang_lizhen,83% Feedback positivo (6 classificações),6,4.333333333333333,5e5f6272d0e9af054214467e,0,"",https://www.wish.com/c/5edda5aeb7160e568443c6e7,https://contestimg.wish.com/api/webimage/5edda5aeb7160e568443c6e7-medium.jpg,5edda5aeb7160e568443c6e7,summer,2020-08
2020 New  Women Summer Fashion O-neck Sleeveless Stripes Printing Slim Fit Casual Cotton Tank Tops,2020 New  Women Summer Fashion O-neck Sleeveless Stripes Printing Slim Fit Casual Cotton Tank Tops,8.0,7,EUR,10,1,5,0.0,"","","","","",0,0,0,0,"Summer,Slim  Fitting,Tank,summer tank top,Tops,slim,tank top,Slim Fit,Women's Fashion,Fashion,Stripes,sleeveless,Cotton,Casual,Women Fashion,Women",grey,M,50,Livraison standard,3,0,10,50,"","",CN,longming,longming,"85 % avis positifs (27,175 notes)",27175,3.966034958601656,58a99ceca65ebc504a6ebf1e,0,"",https://www.wish.com/c/5eccb8aa18e87d64f13e012c,https://contestimg.wish.com/api/webimage/5eccb8aa18e87d64f13e012c-medium.jpg,5eccb8aa18e87d64f13e012c,summer,2020-08
Combinaisons décontractées sans manches en coton pour femmes,Women Summer Fashion Cotton Overalls Sleeveless Casual Jumpsuits,11.0,30,EUR,1,0,5,0.0,"","","","","",0,0,0,0,"Summer,Fashion,Cotton,Casual pants,rompersforwomen,Overalls,Women's Fashion,summerpant,overallsforwomen,sleeveless,Women,women Jumpsuit,Casual,jumpsuit",armygreen,XS,10,Livraison standard,2,0,33,50,"","",CN,caogao,caogao,"(1,380 notes)",1380,4.007246376811594,5d4b8931933fb13f8a1fe232,0,"",https://www.wish.com/c/5ebfdd5bebac37702b0b207b,https://contestimg.wish.com/api/webimage/5ebfdd5bebac37702b0b207b-medium.jpg,5ebfdd5bebac37702b0b207b,summer,2020-08
Vintage Kawaii Harajuku T Shirt Women Ullzang Cute 90S summer T-shirt Funny Cartoon Graphic Tshirt 90s Fashion  Tees Female,Vintage Kawaii Harajuku T Shirt Women Ullzang Cute 90S summer T-shirt Funny Cartoon Graphic Tshirt 90s Fashion  Tees Female,8.0,17,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"90sfashion,Summer,Fashion,Princess,cute,Kawaii,Shirt,comfy,Leisure,short sleeves,Funny,Women's Fashion,women t shirt,Vintage,Cartoons,Women,Harajuku,Casual,T Shirts,Cotton",white,S,50,Livraison standard,3,0,48,50,1,Quantité limitée !,CN,WenqiaoyouuOO,wenqiaoyouuoo,75 % avis positifs (8 notes),8,3.625,5df1cd2ecce7510b506fdba5,0,"",https://www.wish.com/c/5ec48b4f504db2c516aad131,https://contestimg.wish.com/api/webimage/5ec48b4f504db2c516aad131-medium.jpg,5ec48b4f504db2c516aad131,summer,2020-08
Women Off Shoulder Floral Print Boho Dress Women Beach Summer Dresses Ladies Strapless Long Maxi Dress Vestidos Female,Women Off Shoulder Floral Print Boho Dress Women Beach Summer Dresses Ladies Strapless Long Maxi Dress Vestidos Female,7.0,6,EUR,100,0,5,0.0,"","","","","",0,0,0,0,"Summer,strapless,Floral print,Tops & T-Shirts,sundress,ladies dress,Beach,Dress,Blouses & Shirts,boho,Women,Print,beach dress,transparentdres,Black Top,Sexy Dress,Floral,women dress,Ladies,Women's Fashion,Women Clothing",tan,XS,50,Livraison standard,2,0,140,50,"","",AT,tutishop,tutishop,"",0,5.0,5dab9ece69ce753090f6735c,0,"",https://www.wish.com/c/5f01c514792d0b94d29d0cb6,https://contestimg.wish.com/api/webimage/5f01c514792d0b94d29d0cb6-medium.jpg,5f01c514792d0b94d29d0cb6,summer,2020-08
Womens Summer Fashion Lip Print 2pc Set Ladies Casual Col rond T-shirt à manches courtes et short,Womens Summer Fashion Lip Print 2pc Set Ladies Casual Round Neck Short Sleeve T Shirt and Shorts,5.0,51,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks",black,XS,1,Livraison standard,1,0,36,50,"","",CN,hxt520,hxt520,86 % avis positifs (295 notes),295,3.989830508474576,5d464a1ffdf7bc44ee933c65,0,"",https://www.wish.com/c/5eb90ab5ad67f63678d15ed9,https://contestimg.wish.com/api/webimage/5eb90ab5ad67f63678d15ed9-medium.jpg,5eb90ab5ad67f63678d15ed9,summer,2020-08
Femmes Crop Tops Deep V Neck Sans manches Slim Fit Solid Tops Solid For Summer,Women Crop Tops Deep V Neck Sleeveless Slim Fit Solid Tops For Summer,9.0,34,EUR,50,0,5,0.0,"","","","","",0,0,0,0,"Deep V-Neck,Summer,Vest,Slim Fit,crop top,Necks,Pure Color,slim,Women's Fashion,sexy,sleeveless,women top,simfit,Tops,Women",white,S,6,Livraison standard,3,0,41,50,"","",CN,Adrea boutique,adreaboutique,"86 % avis positifs (14,676 notes)",14676,4.07420278004906,55f7c64b3a698c4749f3bccf,0,"",https://www.wish.com/c/5e86c978d4bc413d5735e5ea,https://contestimg.wish.com/api/webimage/5e86c978d4bc413d5735e5ea-medium.jpg,5e86c978d4bc413d5735e5ea,summer,2020-08
Nouveau été hommes chat Caterpillar bulldozer pantalon court sport,New Summer Men Cat Caterpillar Bulldozer Short Pants Sport,12.0,14,EUR,10,0,5,0.0,"","","","","",0,0,0,0,"Summer,Plus Size,Casual pants,pants,Men,Short pants,caterpillar,Cats,Men's Fashion,Shorts,Sport,Cotton",black,S,50,Livraison standard,3,0,22,50,"","",CN,fengguijieshop,fengguijieshop,87 % avis positifs (52 notes),52,3.8846153846153846,5e5cb2f077179e1ac07004a2,0,"",https://www.wish.com/c/5ea7e2d949b52108c6560c5b,https://contestimg.wish.com/api/webimage/5ea7e2d949b52108c6560c5b-medium.jpg,5ea7e2d949b52108c6560c5b,summer,2020-08
